Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,633.474976,633.950012,630.000000,632.075012,504.629028,509580
2013-01-02,633.500000,636.200012,627.775024,631.650024,504.289948,1880246
2013-01-03,632.500000,642.000000,629.974976,640.299988,511.195618,2635130
2013-01-04,642.500000,650.500000,640.450012,649.599976,518.620544,5228760
2013-01-07,650.000000,652.000000,645.125000,647.424988,516.884155,1820752
2013-01-08,647.500000,652.150024,647.150024,650.125000,519.039734,2341870
2013-01-09,650.500000,653.700012,636.575012,638.299988,509.598969,3135898
2013-01-10,639.950012,641.049988,627.650024,629.200012,502.333832,4522838
2013-01-11,645.000000,661.250000,645.000000,653.174988,521.474670,7805006
2013-01-14,659.500000,674.224976,653.674988,667.250000,532.711914,5790224
2013-01-15,695.000000,700.000000,663.500000,668.724976,533.889404,8262978
2013-01-16,668.450012,677.500000,654.500000,673.875000,538.000916,4109492
2013-01-17,674.849976,685.900024,671.500000,681.000000,543.689575,3028544
2013-01-18,681.250000,683.025024,669.025024,675.500000,539.298462,1440470
2013-01-21,676.250000,677.450012,663.549988,665.000000,530.915344,1260038
2013-01-22,663.000000,665.849976,654.049988,658.750000,525.925415,1386630
2013-01-23,657.875000,661.875000,649.200012,655.974976,524.905334,1877654
2013-01-24,652.500000,668.450012,652.500000,664.275024,531.546936,3498470
2013-01-25,661.875000,672.500000,661.875000,670.250000,536.328125,1521100
2013-01-28,670.150024,674.974976,668.974976,672.525024,538.148621,2428154
2013-01-29,670.599976,678.275024,670.150024,672.474976,538.108459,1731804
2013-01-30,670.500000,674.924988,667.900024,673.075012,538.588745,2279144
2013-01-31,674.424988,676.224976,663.200012,672.075012,537.788391,4313168
2013-02-01,672.000000,676.000000,671.075012,674.049988,539.368896,1484540
2013-02-04,674.500000,683.900024,672.575012,678.174988,542.669556,2487304
2013-02-05,672.549988,682.500000,672.549988,680.025024,544.149963,2161994
2013-02-06,681.250000,687.950012,681.000000,685.275024,548.350952,3573706
2013-02-07,680.500000,695.000000,680.500000,693.575012,554.992493,2612782
2013-02-08,693.000000,718.500000,692.549988,711.299988,569.175842,6973618
2013-02-11,712.000000,714.450012,706.125000,707.349976,566.015198,2312126
2013-02-12,704.525024,707.500000,700.924988,705.025024,564.154907,2225502
2013-02-13,704.900024,720.825012,702.549988,717.700012,574.297302,3822666
2013-02-14,715.049988,727.900024,714.500000,723.849976,579.218384,2946958
2013-02-15,722.000000,725.900024,715.325012,721.075012,576.997803,1820790
2013-02-18,720.049988,720.950012,710.000000,712.674988,570.276062,952086
2013-02-19,710.799988,724.450012,706.349976,721.775024,577.557983,744294
2013-02-20,720.750000,728.500000,720.750000,726.400024,581.258789,2261518
2013-02-21,720.349976,728.424988,720.349976,725.525024,580.558777,3849146
2013-02-22,725.000000,732.025024,721.150024,727.549988,582.178894,1310694
2013-02-25,726.500000,737.500000,725.750000,736.849976,589.620789,1730030
2013-02-26,733.500000,749.974976,733.000000,748.200012,598.703003,2853670
2013-02-27,747.625000,751.525024,738.650024,741.599976,593.421753,2556682
2013-02-28,743.125000,762.500000,742.625000,758.500000,606.944885,4599424
2013-03-01,757.549988,758.000000,749.000000,750.924988,600.883423,2537326
2013-03-04,745.500000,759.950012,745.500000,756.599976,605.424622,3136076
2013-03-05,758.500000,771.500000,754.299988,770.075012,616.207214,3440054
2013-03-06,768.075012,782.750000,768.075012,780.599976,624.628967,2299510
2013-03-07,780.500000,798.799988,779.674988,794.950012,636.112061,3908702
2013-03-08,795.000000,797.825012,787.450012,791.575012,633.411255,4341502
2013-03-11,787.500000,794.775024,778.325012,783.099976,626.629395,2221330
2013-03-12,779.000000,783.974976,774.000000,780.250000,624.349060,1809452
2013-03-13,778.025024,779.349976,774.000000,775.849976,620.828064,1794496
2013-03-14,778.500000,788.500000,771.900024,783.849976,627.229736,3051218
2013-03-15,786.000000,790.200012,780.299988,785.125000,628.249939,4212398
2013-03-18,779.924988,786.825012,777.200012,783.474976,626.929626,1694988
2013-03-19,782.250000,782.250000,770.224976,773.375000,618.847839,3739910
2013-03-20,770.000000,786.325012,769.974976,778.825012,623.208923,4168136
2013-03-21,781.500000,787.200012,776.849976,779.974976,624.128906,1664604
2013-03-22,780.700012,781.049988,766.000000,771.075012,617.007446,2714456
2013-03-25,774.250000,776.000000,764.200012,771.674988,617.487427,1857316
2013-03-26,770.049988,785.000000,768.075012,778.174988,622.688721,1781536
2013-03-28,778.000000,791.700012,770.825012,787.875000,630.450562,3065662
2013-04-01,782.500000,786.849976,775.625000,778.424988,622.888672,968812
2013-04-02,778.000000,785.599976,770.625000,783.674988,627.089722,1130332
2013-04-03,785.000000,787.500000,765.500000,771.700012,617.507446,959932
2013-04-04,770.049988,770.049988,750.500000,753.900024,603.264160,1126338
2013-04-05,752.500000,754.674988,742.049988,749.174988,599.483215,1865248
2013-04-08,749.450012,749.450012,737.500000,740.375000,592.441223,896416
2013-04-09,740.000000,756.500000,738.799988,748.700012,599.103088,1672354
2013-04-10,754.950012,769.450012,750.500000,765.224976,612.326294,2046284
2013-04-11,770.000000,775.049988,760.349976,768.450012,614.906677,2244658
2013-04-12,740.950012,762.250000,739.174988,755.875000,604.844360,5032060
2013-04-15,756.750000,757.000000,724.174988,736.224976,589.120667,5391496
2013-04-16,735.000000,746.724976,728.974976,741.575012,593.401733,3071582
2013-04-17,747.500000,749.500000,715.500000,728.325012,582.799255,5279004
2013-04-18,743.974976,747.450012,713.724976,726.375000,581.238770,8554458
2013-04-22,723.000000,729.900024,712.500000,712.650024,570.256226,2962484
2013-04-23,712.224976,724.000000,712.000000,715.275024,572.356689,3384170
2013-04-25,715.275024,715.275024,699.325012,701.150024,561.054016,7929194
2013-04-26,696.500000,696.724976,682.549988,684.674988,547.871033,4754076
2013-04-29,682.500000,692.349976,682.500000,685.375000,548.430908,3968916
2013-04-30,684.000000,691.000000,682.500000,689.200012,551.491577,4020570
2013-05-02,686.750000,719.400024,686.750000,716.950012,573.697083,5630326
2013-05-03,713.000000,723.625000,703.950012,709.250000,567.535706,3641790
2013-05-06,710.000000,736.200012,710.000000,733.599976,587.020325,3727118
2013-05-07,733.549988,739.424988,728.700012,735.799988,588.780701,2260180
2013-05-08,736.000000,743.900024,735.000000,740.049988,592.181580,1768130
2013-05-09,741.599976,751.724976,741.500000,749.224976,599.523315,1949700
2013-05-10,749.224976,755.450012,745.549988,747.950012,598.502991,1139714
2013-05-13,740.000000,740.500000,722.849976,725.799988,580.778870,1862498
2013-05-14,727.549988,735.275024,721.875000,728.974976,583.319275,2250100
2013-05-15,729.049988,738.599976,725.000000,735.775024,588.760742,3565926
2013-05-16,734.500000,734.500000,723.724976,727.025024,581.758972,2415652
2013-05-17,727.500000,739.250000,727.049988,736.900024,589.660828,2900200
2013-05-20,735.625000,739.000000,730.500000,736.200012,589.100525,1385504
2013-05-21,732.500000,751.000000,732.500000,746.424988,597.282593,1898432
2013-05-22,749.000000,754.575012,746.150024,749.200012,599.503174,1846944
2013-05-23,747.500000,763.375000,739.174988,746.349976,597.222656,3063962
2013-05-24,750.000000,751.474976,731.799988,734.775024,587.960449,1586612
2013-05-27,734.750000,750.000000,730.000000,749.000000,599.343079,2023864
2013-05-28,749.000000,758.250000,745.150024,757.049988,605.784607,1400254
2013-05-29,758.000000,763.750000,742.549988,748.674988,599.082947,1452038
2013-05-30,750.000000,756.000000,743.500000,749.700012,599.903137,2408346
2013-05-31,745.500000,754.625000,738.375000,749.224976,599.523315,1929868
2013-06-03,752.000000,753.500000,728.549988,734.700012,587.900391,3097612
2013-06-04,730.000000,736.950012,725.075012,732.674988,586.280151,1305320
2013-06-05,730.549988,736.325012,726.349976,733.900024,587.260132,1728676
2013-06-06,726.849976,739.250000,726.025024,735.375000,593.698975,2540452
2013-06-07,735.049988,769.500000,734.000000,759.474976,613.155762,3550844
2013-06-10,762.525024,772.349976,759.549988,762.525024,615.618042,3360430
2013-06-11,765.099976,771.000000,746.000000,750.775024,606.132080,2205468
2013-06-12,747.049988,747.549988,731.025024,734.049988,592.628845,4805954
2013-06-13,730.000000,732.000000,717.549988,722.825012,583.566711,3151342
2013-06-14,724.000000,728.625000,715.500000,725.349976,585.605103,3105996
2013-06-17,726.500000,732.500000,714.000000,726.224976,586.311707,2584162
2013-06-18,727.500000,730.000000,720.075012,721.900024,582.819885,2291528
2013-06-19,727.450012,727.450012,711.775024,713.849976,576.320740,2139788
2013-06-20,710.500000,716.575012,699.549988,702.250000,566.955444,4172878
2013-06-21,704.400024,715.924988,704.000000,711.125000,574.120850,2848224
2013-06-24,707.500000,717.049988,700.049988,705.349976,569.458374,1889164
2013-06-25,706.750000,713.549988,690.349976,696.150024,562.030884,1860548
2013-06-26,698.450012,723.875000,690.525024,718.849976,580.357666,2326488
2013-06-27,723.900024,748.500000,721.000000,745.950012,602.236267,3820678
2013-06-28,747.500000,762.150024,729.099976,759.075012,612.832947,4817096
2013-07-01,756.000000,758.349976,741.700012,746.174988,602.418030,1354652
2013-07-02,746.549988,754.250000,743.325012,750.275024,605.728088,1657242
2013-07-03,748.849976,759.500000,732.500000,744.900024,601.388733,1530906
2013-07-04,745.424988,770.500000,745.000000,769.150024,620.966736,1917060
2013-07-05,771.000000,779.000000,761.000000,765.099976,617.696960,1293012
2013-07-08,764.000000,767.500000,750.000000,753.325012,608.190491,1658796
2013-07-09,747.650024,760.875000,747.650024,752.450012,607.484192,1097326
2013-07-10,755.000000,763.400024,749.000000,755.974976,610.329895,1322624
2013-07-11,760.000000,785.000000,760.000000,782.275024,631.563171,2335274
2013-07-12,797.500000,812.400024,789.650024,804.924988,649.849548,3251536
2013-07-15,800.549988,823.650024,799.650024,820.875000,662.726563,2060570
2013-07-16,812.500000,833.174988,808.799988,824.674988,665.794617,2224986
2013-07-17,822.525024,842.474976,822.525024,839.250000,677.561340,2999250
2013-07-18,840.000000,846.150024,822.000000,830.200012,670.255005,3445532
2013-07-19,859.500000,879.500000,850.000000,871.400024,703.517395,8550804
2013-07-22,870.500000,879.400024,864.150024,873.250000,705.011169,2974772
2013-07-23,874.000000,890.224976,871.799988,874.900024,706.342896,1646502
2013-07-24,874.250000,896.000000,872.500000,891.400024,719.664307,2181644
2013-07-25,890.000000,905.000000,883.349976,897.875000,724.891846,4088808
2013-07-26,897.500000,899.474976,875.049988,887.250000,716.313660,2379064
2013-07-29,879.000000,897.299988,878.625000,889.599976,719.833557,1774262
2013-07-30,890.000000,902.474976,887.724976,896.150024,725.133545,2617484
2013-07-31,895.000000,915.750000,894.724976,907.750000,734.519836,2826750
2013-08-01,905.025024,917.400024,895.000000,907.700012,734.479553,2141178
2013-08-02,909.849976,924.950012,908.349976,922.924988,746.799072,1846854
2013-08-05,920.000000,938.700012,920.000000,933.599976,755.436951,2355184
2013-08-06,936.500000,940.974976,932.325012,935.049988,756.610229,2305290
2013-08-07,937.000000,945.450012,906.724976,911.349976,737.433105,2694980
2013-08-08,902.549988,928.075012,891.849976,922.700012,746.617004,2158628
2013-08-12,920.500000,920.500000,904.075012,907.000000,733.913025,2077574
2013-08-13,910.099976,922.424988,904.974976,909.900024,736.259827,2168296
2013-08-14,912.250000,929.000000,901.000000,916.750000,741.802307,3302068
2013-08-16,912.099976,915.000000,877.775024,890.450012,720.521362,2779930
